Reference	Project	Individual	Path
grch38	li	HG00733	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/grch38/li/HG00733.vcf.gz
grch38	li	NA12878	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/grch38/li/NA12878.vcf.gz
grch38	li	PGP1	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/grch38/li/NA24385.vcf.gz
grch38	li	NA24385	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/grch38/li/PGP1.vcf.gz
chm13	eichler	HG00096	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG00096.vcf.gz
chm13	eichler	HG00171	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG00171.vcf.gz
chm13	eichler	HG00512	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG00512.vcf.gz
chm13	eichler	HG00513	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG00513.vcf.gz
chm13	eichler	HG00514	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG00514.vcf.gz
chm13	eichler	HG00731	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG00731.vcf.gz
chm13	eichler	HG00732	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG00732.vcf.gz
chm13	eichler	HG00864	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG00864.vcf.gz
chm13	eichler	HG01114	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG01114.vcf.gz
chm13	eichler	HG01505	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG01505.vcf.gz
chm13	eichler	HG01596	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG01596.vcf.gz
chm13	eichler	HG02011	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG02011.vcf.gz
chm13	eichler	HG02492	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG02492.vcf.gz
chm13	eichler	HG02587	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG02587.vcf.gz
chm13	eichler	HG02818	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG02818.vcf.gz
chm13	eichler	HG03009	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG03009.vcf.gz
chm13	eichler	HG03065	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG03065.vcf.gz
chm13	eichler	HG03125	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG03125.vcf.gz
chm13	eichler	HG03371	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG03371.vcf.gz
