TP-base	TP-call	FP	FN	precision	recall	f1	base cnt	call cnt	TP-call_TP-gt	TP-call_FP-gt	TP-base_TP-gt	TP-base_FP-gt	gt_concordance	reference	pVCF merge	caller	sample
8870	8870	5882	14304	0.6012744034707158	0.3827565374989212	0.46775299266993614	23174	14752	5414	3456	5414	3456	0.8514092446448703	hg19	SURVIVOR	biograph	HG03065
8678	8678	4417	13280	0.6626956853760978	0.3952090354312779	0.495135937009671	21958	13095	5496	3182	5496	3182	0.857686102788661	hg19	Naive	biograph	HG00733
10447	10447	4305	18644	0.7081751626898047	0.3591145027671789	0.4765641037337773	29091	14752	6076	4371	6076	4371	0.8197568680003828	hg19	BCFtools	biograph	HG03065
7853	7853	5242	12066	0.5996945399007255	0.3942466991314825	0.4757375658811414	19919	13095	5066	2787	5066	2787	0.8694766331338342	hg19	SURVIVOR	biograph	HG00733
9743	9743	5009	15942	0.6604528199566161	0.379326455129453	0.4818854019833322	25685	14752	5854	3889	5854	3889	0.8439905573232064	hg19	Naive	biograph	HG03065
8391	8391	2411	17809	0.7768005924828736	0.3202671755725191	0.4535430517269337	26200	10802	5022	3369	5022	3369	0.8506733404838518	grch38	Naive	manta	HG02587
10431	10431	3896	18926	0.7280658895791163	0.3553155976428109	0.47756615694533466	29357	14327	6034	4397	6034	4397	0.8267663694756016	hg19	BCFtools	biograph	HG03486
9759	9759	4568	16126	0.6811614434284916	0.3770137145064709	0.48537749925395407	25885	14327	5807	3952	5807	3952	0.8467056050824879	hg19	Naive	biograph	HG03486
8359	8359	3981	13904	0.6773905996758509	0.3754660198535687	0.48313730023408374	22263	12340	5284	3075	5284	3075	0.8577581050364876	grch38	Naive	biograph	HG00731
8906	8906	3434	16366	0.7217179902755267	0.35240582462804687	0.4735722641710093	25272	12340	5480	3426	5480	3426	0.8341567482596003	grch38	BCFtools	biograph	HG00731
10229	10229	4098	19128	0.7139666364207441	0.3484347855707327	0.46831791960443186	29357	14327	5948	4281	5948	4281	0.8286244989735067	hg19	Jasmine	biograph	HG03486
9551	9551	3775	19412	0.7167191955575567	0.32976556295963816	0.45170138806781907	28963	13326	5392	4159	5392	4159	0.8313265626635954	chm13	Truvari	biograph	HG02818
7128	7128	1608	17566	0.8159340659340659	0.2886531141167895	0.426443314388274	24694	8736	4455	2673	4455	2673	0.8587261503928171	grch38	Truvari	manta	NA19650
6918	6918	2695	15117	0.7196504733173827	0.31395507147719537	0.43718402426693637	22035	9613	4079	2839	4079	2839	0.8574732581671003	chm13	Jasmine	biograph	NA19650
8143	8143	5183	15744	0.6110610835959778	0.34089672206639593	0.43764275925079943	23887	13326	4802	3341	4802	3341	0.8611076998649146	chm13	SURVIVOR	biograph	HG02818
7466	7466	1753	17985	0.8098492244278122	0.2933480020431417	0.4306893567926161	25451	9219	4701	2765	4701	2765	0.8612376105009376	grch38	Jasmine	manta	HG00733
6820	6820	1868	15613	0.7849907918968693	0.3040164044042259	0.4382892580572603	22433	8688	4369	2451	4369	2451	0.8730205278592376	grch38	Naive	manta	NA20847
9343	9343	4025	15751	0.6989078396169958	0.3723200765123137	0.48583017003795953	25094	13368	5985	3358	5985	3358	0.8420207642084984	grch38	BCFtools	biograph	HG00514
8761	8761	4607	13244	0.6553710353081987	0.3981367870938423	0.49534956039917455	22005	13368	5775	2986	5775	2986	0.8632576189932656	grch38	Naive	biograph	HG00514
10259	10259	4493	18832	0.6954311279826464	0.35265202296242826	0.4679880482631206	29091	14752	5993	4266	5993	4266	0.821814991714592	hg19	Jasmine	biograph	HG03065
8647	8647	3484	16124	0.712801912455692	0.3490775503613096	0.46864668581648694	24771	12131	5292	3355	5292	3355	0.8241008442234301	grch38	Truvari	biograph	HG00732
6970	6970	1538	18238	0.8192289609779031	0.2764995239606474	0.4134535532091589	25208	8508	4316	2654	4316	2654	0.8427546628407461	grch38	BCFtools	manta	HG00732
8147	8147	5185	15115	0.6110861086108611	0.350227839394721	0.4452642509701044	23262	13332	4866	3281	4866	3281	0.859089235301338	chm13	SURVIVOR	biograph	HG03065
9506	9506	3826	18978	0.713021302130213	0.3337312175256284	0.45465850392194374	28484	13332	5398	4108	5398	4108	0.8271617925520723	chm13	Truvari	biograph	HG03065
8023	8023	3279	15647	0.7098743585206159	0.3389522602450359	0.458824202218918	23670	11302	4870	3153	4870	3153	0.8699987535834476	grch38	SURVIVOR	manta	NA19238
